HDI_rank,Country,1990,2000,2010,2015,2020,2021,2022,2023,Change_in_HDI_rank_2015_2023,Avg_annual_growth_1990_2000,Avg_annual_growth_2000_2010,Avg_annual_growth_2010_2023,Avg_annual_growth_1990_2023
43.0,Qatar,0.767,,0.795,0.834,0.86,0.872,0.866,0.883,0.886,-4.0,0.3591967035672994,0.48006149766179895,0.46634206925078026
44.0,Slovakia,0.698,,0.774,0.851,0.861,0.867,0.859,0.873,0.88,-6.0,1.0388870534183914,0.9529141382127904,0.25810003612518617
45.0,Chile,0.718,,0.771,0.823,0.855,0.856,0.865,0.869,0.878,-1.0,0.7147301354470947,0.6548128572317236,0.4988585840288051
46.0,Hungary,0.73,,0.781,0.838,0.847,0.857,0.852,0.867,0.87,1.0,0.6775914904369351,0.7069164472235823,0.2886859836488842
47.0,Argentina,0.733,,0.789,0.844,0.859,0.851,0.847,0.858,0.865,-7.0,0.7389228500088274,0.6761372942042376,0.1892327606794364
48.0,Montenegro,,,,0.815,0.839,0.841,0.84,0.853,0.862,0.0,,,0.43221720213200143
48.0,Uruguay,0.713,,0.764,0.796,0.818,0.837,0.837,0.852,0.862,13.0,0.6932556559368974,0.4111569070415211,0.6146202001914736
50.0,Oman,,,0.707,0.804,0.838,0.843,0.834,0.846,0.858,1.0,,1.2939865102465031,0.5012894284164293
51.0,Türkiye,0.598,,0.669,0.75,0.821,0.838,0.841,0.853,0.853,7.0,1.1282503338347016,1.149447420531069,0.9948105969273868
52.0,Kuwait,0.698,,0.778,0.812,0.832,0.837,0.839,0.845,0.852,1.0,1.0909824948175828,0.4286542652114589,0.3705786947751033
53.0,Antigua and Barbuda,,,,0.828,0.839,0.84,0.843,0.848,0.851,-5.0,,,0.2109835977376795
54.0,Seychelles,,,,0.758,0.819,0.853,0.838,0.836,0.848,5.0,,,0.8667908341903008
55.0,Bulgaria,0.706,,0.733,0.799,0.824,0.826,0.817,0.835,0.845,1.0,0.3760097936901907,0.8658796767255339,0.4315105030321398
55.0,Romania,0.719,,0.73,0.822,0.823,0.832,0.829,0.84,0.845,2.0,0.15194708699517445,1.1940309169256036,0.21250418077518596
57.0,Georgia,,,0.705,0.77,0.807,0.822,0.819,0.838,0.844,6.0,,0.8858275554824102,0.7083584559709033
58.0,Saint Kitts and Nevis,,,,0.791,0.83,0.828,0.818,0.829,0.84,-4.0,,,0.4634083080568674
59.0,Panama,0.672,,0.718,0.775,0.803,0.808,0.819,0.835,0.839,6.0,0.6643090944135732,0.7668600281399485,0.6122332804932462
60.0,Brunei Darussalam,0.781,,0.792,0.83,0.839,0.836,0.835,0.825,0.837,-12.0,0.13996027284426393,0.4697429389412866,0.06462371596873684
60.0,Kazakhstan,0.689,,0.692,0.781,0.819,0.826,0.816,0.831,0.837,-1.0,0.04345628554927039,1.2172407423872045,0.5341052887740672
62.0,Costa Rica,0.677,,0.72,0.776,0.803,0.819,0.817,0.823,0.833,3.0,0.6176993333703251,0.7518252013776427,0.546728535110419
62.0,Serbia,,,0.701,0.775,0.802,0.809,0.807,0.826,0.833,5.0,,1.0086038876983894,0.5567024208742888
